moderate,immoderate
inflectional,derivational
derivational,inflectional
apocarpous,syncarpous
syncarpous,apocarpous
angry,unangry
unangry,angry
resentful,unresentful
unresentful,resentful
sentient,insentient
insentient,sentient
animate,inanimate
inanimate,animate
animated,unanimated
unanimated,animated
enlivened,unenlivened
unenlivened,enlivened
animate,inanimate
inanimate,animate
anonymous,onymous
onymous,anonymous
antemortem,postmortem
postmortem,antemortem
antecedent,subsequent
subsequent,antecedent
antrorse,retrorse
retrorse,antrorse
aquatic,terrestrial
terrestrial,amphibious
amphibious,aquatic
preceding,succeeding
succeeding,preceding
precedented,unprecedented
unprecedented,precedented
prehensile,nonprehensile
nonprehensile,prehensile
prenatal,perinatal
perinatal,postnatal
postnatal,prenatal
preprandial,postprandial
postprandial,preprandial
prewar,postwar
postwar,prewar
retrograde,anterograde
anterograde,retrograde
antemeridian,postmeridian
postmeridian,antemeridian
anterior,posterior
posterior,anterior
dorsal,ventral
ventral,dorsal
appealable,unappealable
unappealable,appealable
appendaged,unappendaged
unappendaged,appendaged
appetizing,unappetizing
unappetizing,appetizing
approachable,unapproachable
unapproachable,approachable
appropriate,inappropriate
inappropriate,appropriate
due,undue
undue,due
due,undue
undue,due
apropos,malapropos
malapropos,apropos
a_priori,a_posteriori
a_posteriori,a_priori
apteral,peripteral
peripteral,apteral
arbitrable,nonarbitrable
nonarbitrable,arbitrable
columned,noncolumned
noncolumned,columned
arboreal,nonarboreal
nonarboreal,arboreal
arenaceous,argillaceous
argillaceous,arenaceous
armed,unarmed
unarmed,armed
armored,unarmored
unarmored,armored
armed,unarmed
unarmed,armed
armed,armless
armless,armed
armored,unarmored
unarmored,armored
artful,artless
artless,artful
articulate,inarticulate
inarticulate,articulate
speaking,nonspeaking
nonspeaking,speaking
articulated,unarticulated
unarticulated,articulated
ashamed,unashamed
unashamed,ashamed
assertive,unassertive
unassertive,assertive
associative,nonassociative
nonassociative,associative
attached,unattached
unattached,attached
affixed,unaffixed
unaffixed,affixed
sessile,pedunculate
pedunculate,sessile
sessile,vagile
vagile,sessile
attached,detached
detached,attached
stuck,unstuck
unstuck,stuck
attachable,detachable
detachable,attachable
wary,unwary
unwary,wary
attentive,inattentive
inattentive,attentive
attractive,unattractive
unattractive,attractive
attractive,repulsive
repulsive,attractive
appealing,unappealing
unappealing,appealing
attributable,unattributable
unattributable,attributable
attributive,predicative
predicative,attributive
pregnant,nonpregnant
nonpregnant,pregnant
audible,inaudible
inaudible,audible
sonic,subsonic
subsonic,supersonic
supersonic,sonic
auspicious,inauspicious
inauspicious,auspicious
propitious,unpropitious
unpropitious,propitious
authorized,unauthorized
unauthorized,authorized
constitutional,unconstitutional
unconstitutional,constitutional
autochthonous,allochthonous
allochthonous,autochthonous
autoecious,heteroecious
heteroecious,autoecious
autogenous,heterogenous
heterogenous,autogenous
automatic,manual
manual,automatic
available,unavailable
unavailable,available
awake,asleep
asleep,awake
astringent,nonastringent
nonastringent,astringent
aware,unaware
unaware,aware
witting,unwitting
unwitting,witting
alarming,unalarming
unalarming,alarming
anemophilous,entomophilous
entomophilous,anemophilous
reassuring,unreassuring
unreassuring,reassuring
back,front
front,back
leading,following
following,leading
backed,backless
backless,backed
backward,forward
forward,backward
forward,reverse
reverse,forward
backward,forward
forward,backward
balconied,unbalconied
unbalconied,balconied
barreled,unbarreled
unbarreled,barreled
beaked,beakless
beakless,beaked
bedded,bedless
bedless,bedded
beneficed,unbeneficed
unbeneficed,beneficed
stratified,unstratified
unstratified,stratified
ferned,fernless
fernless,ferned
grassy,grassless
grassless,grassy
gusseted,ungusseted
ungusseted,gusseted
hairless,hairy
hairy,hairless
awned,awnless
awnless,awned
bearing,nonbearing
nonbearing,bearing
beautiful,ugly
ugly,beautiful
bellied,bellyless
bellyless,bellied
banded,unbanded
unbanded,banded
belted,unbelted
unbelted,belted
beneficent,maleficent
maleficent,beneficent
malicious,unmalicious
unmalicious,malicious
benign,malign
malign,benign
best,worst
worst,best
better,worse
worse,better
better,worse
worse,better
bettering,worsening
worsening,bettering
bicameral,unicameral
unicameral,bicameral
bidirectional,unidirectional
unidirectional,bidirectional
faced,faceless
faceless,faced
bibbed,bibless
bibless,bibbed
unilateral,multilateral
multilateral,unilateral
bimodal,unimodal
unimodal,bimodal
binaural,monaural
monaural,binaural
binucleate,trinucleate
mononuclear,binucleate
trinucleate,mononuclear
bipedal,quadrupedal
biped,quadruped
quadrupedal,bipedal
quadruped,biped
black,white
white,black
blond,brunet
brunet,blond
blemished,unblemished
unblemished,blemished
bloody,bloodless
bloodless,bloody
bold,timid
timid,bold
bound,unbound
unbound,bound
laced,unlaced
unlaced,laced
tied,untied
untied,tied
tangled,untangled
untangled,tangled
bound,unbound
unbound,bound
bordered,unbordered
unbordered,bordered
lotic,lentic
lentic,lotic
lower-class,middle-class
middle-class,upper-class
upper-class,lower-class
brachycephalic,dolichocephalic
dolichocephalic,brachycephalic
brave,cowardly
cowardly,brave
gutsy,gutless
gutless,gutsy
breast-fed,bottle-fed
bottle-fed,breast-fed
breathing,breathless
breathless,breathing
crystalline,noncrystalline
noncrystalline,crystalline
landed,landless
landless,landed
light,dark
dark,light
shaded,unshaded
unshaded,shaded
shaded,unshaded
unshaded,shaded
moonlit,moonless
moonless,moonlit
bridgeable,unbridgeable
unbridgeable,bridgeable
bright,dull
dull,bright
dimmed,undimmed
undimmed,dimmed
prejudiced,unprejudiced
unprejudiced,prejudiced
broad-minded,narrow-minded
narrow-minded,broad-minded
reconstructed,unreconstructed
unreconstructed,reconstructed
broken,unbroken
unbroken,broken
broken,unbroken
unbroken,broken
broken,unbroken
unbroken,broken
brotherly,sisterly
sisterly,brotherly
exergonic,endergonic
endergonic,exergonic
fraternal,identical
identical,fraternal
buried,unburied
unburied,buried
busy,idle
idle,busy
bony,boneless
boneless,bony
buttoned,unbuttoned
unbuttoned,buttoned
capitalistic,socialistic
socialistic,capitalistic
cacophonous,euphonious
euphonious,cacophonous
calculable,incalculable
incalculable,calculable
calm,stormy
stormy,calm
camphorated,uncamphorated
uncamphorated,camphorated
capable,incapable
incapable,capable
capable,incapable
incapable,capable
cared-for,uncared-for
uncared-for,cared-for
careful,careless
careless,careful
carnivorous,herbivorous
herbivorous,omnivorous
omnivorous,insectivorous
insectivorous,carnivorous
holozoic,holophytic
holophytic,holozoic
carpellate,acarpelous
acarpelous,carpellate
carpeted,uncarpeted
uncarpeted,carpeted
carvel-built,clinker-built
clinker-built,carvel-built
carved,uncarved
uncarved,carved
acatalectic,catalectic
catalectic,hypercatalectic
hypercatalectic,acatalectic
cauline,radical
radical,cauline
censored,uncensored
uncensored,censored
caudate,acaudate
acaudate,caudate
caulescent,acaulescent
acaulescent,caulescent
causative,noncausative
noncausative,causative
cautious,incautious
incautious,cautious
cellular,noncellular
noncellular,cellular
coherent,incoherent
incoherent,coherent
compartmented,uncompartmented
uncompartmented,compartmented
porous,nonporous
nonporous,porous
central,peripheral
peripheral,central
centrifugal,centripetal
centripetal,centrifugal
afferent,efferent
efferent,afferent
centralizing,decentralizing
decentralizing,centralizing
certain,uncertain
uncertain,certain
certain,uncertain
sure,unsure
uncertain,certain
unsure,sure
convinced,unconvinced
unconvinced,convinced
confident,diffident
diffident,confident
certain,uncertain
uncertain,certain
certified,uncertified
uncertified,certified
inevitable,evitable
evitable,inevitable
preventable,unpreventable
unpreventable,preventable
changeable,unchangeable
unchangeable,changeable
commutable,incommutable
incommutable,commutable
alterable,unalterable
unalterable,alterable
modifiable,unmodifiable
unmodifiable,modifiable
adjusted,unadjusted
unadjusted,adjusted
adjusted,maladjusted
maladjusted,adjusted
altered,unaltered
unaltered,altered
amended,unamended
unamended,amended
changed,unchanged
unchanged,changed
isometric,isotonic
isotonic,isometric
ionized,nonionized
nonionized,ionized
mutable,immutable
immutable,mutable
characteristic,uncharacteristic
uncharacteristic,characteristic
charged,uncharged
uncharged,charged
charitable,uncharitable
uncharitable,charitable
chartered,unchartered
unchartered,chartered
owned,unowned
unowned,owned
chaste,unchaste
unchaste,chaste
cheerful,depressing
depressing,cheerful
chlamydeous,achlamydeous
achlamydeous,chlamydeous
chondritic,achondritic
achondritic,chondritic
monoclinic,triclinic
triclinic,monoclinic
monochromatic,polychromatic
polychromatic,monochromatic
chromatic,achromatic
achromatic,chromatic
black,white
white,black
saturated,unsaturated
unsaturated,saturated
color,black-and-white
black-and-white,color
colored,uncolored
uncolored,colored
stained,unstained
unstained,stained
colorful,colorless
colorless,colorful
colorful,colorless
colourful,colourless
colorless,colorful
colourless,colourful
light,dark
dark,light
chromatic,diatonic
diatonic,chromatic
cismontane,tramontane
tramontane,cismontane
christian,unchristian
unchristian,christian
civilized,noncivilized
noncivilized,civilized
classical,nonclassical
nonclassical,classical
classified,unclassified
unclassified,classified
classified,unclassified
unclassified,classified
analyzed,unanalyzed
unanalyzed,analyzed
clean,dirty
dirty,clean
clean,dirty
dirty,clean
clean,dirty
dirty,clean
radioactive,nonradioactive
nonradioactive,radioactive
clean,unclean
unclean,clean
clear,unclear
unclear,clear
clear,opaque
opaque,clear
radiolucent,radiopaque
radiopaque,radiolucent
clearheaded,confused
confused,clearheaded
clement,inclement
inclement,clement
clement,inclement
inclement,clement
smart,stupid
stupid,smart
clockwise,counterclockwise
counterclockwise,clockwise
far,near
near,far
distant,close
close,distant
distant,close
close,distant
cousinly,uncousinly
uncousinly,cousinly
clothed,unclothed
unclothed,clothed
saddled,unsaddled
unsaddled,saddled
clear,cloudy
cloudy,clear
coastal,inland
inland,coastal
inshore,offshore
offshore,inshore
coherent,incoherent
incoherent,coherent
collapsible,noncollapsible
noncollapsible,collapsible
crannied,uncrannied
uncrannied,crannied
collective,distributive
distributive,collective
publicized,suppressed
suppressed,publicized
published,unpublished
unpublished,published
publishable,unpublishable
unpublishable,publishable
reported,unreported
unreported,reported
reportable,unreportable
unreportable,reportable
combinative,noncombinative
noncombinative,combinative
combustible,noncombustible
noncombustible,combustible
explosive,nonexplosive
nonexplosive,explosive
lighted,unlighted
unlighted,lighted
commodious,incommodious
incommodious,commodious
comfortable,uncomfortable
uncomfortable,comfortable
comfortable,uncomfortable
uncomfortable,comfortable
commensurate,incommensurate
incommensurate,commensurate
proportionate,disproportionate
disproportionate,proportionate
commercial,noncommercial
noncommercial,commercial
residential,nonresidential
nonresidential,residential
commissioned,noncommissioned
noncommissioned,commissioned
common,uncommon
uncommon,common
usual,unusual
unusual,usual
hydrophobic,hydrophilic
hydrophilic,hydrophobic
oleophilic,oleophobic
oleophobic,oleophilic
common,individual
individual,common
communicative,uncommunicative
uncommunicative,communicative
compact,loose
loose,compact
comparable,incomparable
incomparable,comparable
compassionate,uncompassionate
uncompassionate,compassionate
compatible,incompatible
incompatible,compatible
compatible,incompatible
incompatible,compatible
miscible,immiscible
immiscible,miscible
competent,incompetent
incompetent,competent
competent,incompetent
incompetent,competent
competitive,noncompetitive
noncompetitive,competitive
complaining,uncomplaining
uncomplaining,complaining
compressible,incompressible
incompressible,compressible
whole,fractional
fractional,whole
whole,half
half,whole
committed,uncommitted
uncommitted,committed
dedicated,undedicated
undedicated,dedicated
complete,incomplete
incomplete,complete
comprehensive,noncomprehensive
noncomprehensive,comprehensive
composed,discomposed
discomposed,composed
comprehensible,incomprehensible
incomprehensible,comprehensible
concave,convex
convex,concave
concentrated,distributed
distributed,concentrated
concentric,eccentric
eccentric,concentric
concerned,unconcerned
unconcerned,concerned
concise,prolix
prolix,concise
conclusive,inconclusive
inconclusive,conclusive
consummated,unconsummated
unconsummated,consummated
coordinating,subordinating
subordinating,coordinating
accordant,discordant
discordant,accordant
contracted,expanded
expanded,contracted
atrophied,hypertrophied
hypertrophied,atrophied
conditional,unconditional
unconditional,conditional
enforceable,unenforceable
unenforceable,enforceable
enforced,unenforced
unenforced,enforced
conductive,nonconductive
nonconductive,conductive
confined,unconfined
unconfined,confined
crowded,uncrowded
uncrowded,crowded
congenial,uncongenial
uncongenial,congenial
congruent,incongruent
incongruent,congruent
congruous,incongruous
incongruous,congruous
conjunctive,disjunctive
disjunctive,conjunctive
conjunct,disjunct
disjunct,conjunct
connected,unconnected
unconnected,connected
conquerable,unconquerable
unconquerable,conquerable
conscious,unconscious
unconscious,conscious
consecrated,desecrated
desecrated,consecrated
priestly,unpriestly
unpriestly,priestly
conservative,liberal
liberal,conservative
consistent,inconsistent
inconsistent,consistent
conspicuous,inconspicuous
inconspicuous,conspicuous
discernible,indiscernible
indiscernible,discernible
distinguishable,indistinguishable
indistinguishable,distinguishable
constant,inconstant
inconstant,constant
constructive,destructive
destructive,constructive
contented,discontented
discontented,contented
contestable,incontestable
incontestable,contestable
continent,incontinent
incontinent,continent
continual,sporadic
sporadic,continual
continuous,discontinuous
discontinuous,continuous
continuous,discontinuous
discontinuous,continuous
continued,discontinued
discontinued,continued
controlled,uncontrolled
uncontrolled,controlled
controversial,uncontroversial
uncontroversial,controversial
argumentative,unargumentative
unargumentative,argumentative
convenient,inconvenient
inconvenient,convenient
conventional,unconventional
unconventional,conventional
conventional,unconventional
unconventional,conventional
conformist,nonconformist
nonconformist,conformist
nuclear,conventional
conventional,nuclear
traditional,nontraditional
nontraditional,traditional
convergent,divergent
divergent,convergent
branchy,branchless
branchless,branchy
convincing,unconvincing
unconvincing,convincing
cooked,raw
raw,cooked
cooperative,uncooperative
uncooperative,cooperative
corrupt,incorrupt
incorrupt,corrupt
synergistic,antagonistic
antagonistic,synergistic
considerable,inconsiderable
inconsiderable,considerable
substantial,insubstantial
insubstantial,substantial
material,immaterial
immaterial,material
bodied,unbodied
unbodied,bodied
brainwashed,unbrainwashed
unbrainwashed,brainwashed
corporeal,incorporeal
incorporeal,corporeal
correct,incorrect
right,wrong
incorrect,correct
wrong,right
right,wrong
wrong,right
corrected,uncorrected
uncorrected,corrected
corrigible,incorrigible
incorrigible,corrigible
cosmopolitan,provincial
provincial,cosmopolitan
costive,laxative
laxative,costive
constipated,unconstipated
unconstipated,constipated
considerate,inconsiderate
inconsiderate,considerate
courteous,discourteous
discourteous,courteous
polite,impolite
impolite,polite
civil,uncivil
uncivil,civil
civil,sidereal
sidereal,civil
creative,uncreative
uncreative,creative
credible,incredible
incredible,credible
credulous,incredulous
incredulous,credulous
critical,uncritical
uncritical,critical
judgmental,nonjudgmental
nonjudgmental,judgmental
critical,uncritical
uncritical,critical
critical,noncritical
noncritical,critical
critical,noncritical
noncritical,critical
crossed,uncrossed
uncrossed,crossed
crossed,uncrossed
uncrossed,crossed
cross-eyed,walleyed
walleyed,cross-eyed
crowned,uncrowned
uncrowned,crowned
crowned,uncrowned
uncrowned,crowned
crucial,noncrucial
noncrucial,crucial
crystallized,uncrystallized
uncrystallized,crystallized
cubic,linear
linear,planar
planar,cubic
unidimensional,multidimensional
multidimensional,unidimensional
cut,uncut
uncut,cut
cut,uncut
uncut,cut
cut,uncut
uncut,cut
curious,incurious
incurious,curious
current,noncurrent
noncurrent,current
cursed,blessed
blessed,cursed
endowed,unendowed
unendowed,endowed
curtained,curtainless
curtainless,curtained
custom-made,ready-made
ready-made,custom-made
handmade,machine-made
machine-made,handmade
homemade,factory-made
factory-made,homemade
cyclic,noncyclic
noncyclic,cyclic
cyclic,acyclic
acyclic,cyclic
cyclic,acyclic
acyclic,cyclic
annual,biennial
biennial,perennial
perennial,annual
diurnal,nocturnal
nocturnal,diurnal
damaged,undamaged
undamaged,damaged
datable,undatable
undatable,datable
deaf,hearing
hearing,deaf
decent,indecent
indecent,decent
decisive,indecisive
indecisive,decisive
decisive,indecisive
indecisive,decisive
declarative,interrogative
declaratory,interrogatory
interrogative,declarative
interrogatory,declaratory
declared,undeclared
undeclared,declared
decorous,indecorous
indecorous,decorous
deductible,nondeductible
nondeductible,deductible
deep,shallow
shallow,deep
deep,shallow
shallow,deep
de_facto,de_jure
de_jure,de_facto
defeasible,indefeasible
indefeasible,defeasible
defeated,undefeated
undefeated,defeated
defiant,compliant
compliant,defiant
defined,undefined
undefined,defined
well-defined,ill-defined
ill-defined,well-defined
derived,underived
underived,derived
inflected,uninflected
uninflected,inflected
inflected,uninflected
uninflected,inflected
definite,indefinite
indefinite,definite
dehiscent,indehiscent
indehiscent,dehiscent
dejected,elated
elated,dejected
delicate,rugged
rugged,delicate
breakable,unbreakable
unbreakable,breakable
demanding,undemanding
undemanding,demanding
imperative,beseeching
beseeching,imperative
democratic,undemocratic
undemocratic,democratic
arbitrary,nonarbitrary
nonarbitrary,arbitrary
demonstrative,undemonstrative
undemonstrative,demonstrative
deniable,undeniable
undeniable,deniable
denotative,connotative
connotative,denotative
reliable,unreliable
dependable,undependable
unreliable,reliable
undependable,dependable
dependent,independent
independent,dependent
independent,dependent
dependent,independent
partisan,nonpartisan
nonpartisan,partisan
aligned,nonaligned
nonaligned,aligned
descriptive,prescriptive
prescriptive,descriptive
descriptive,undescriptive
undescriptive,descriptive
desirable,undesirable
undesirable,desirable
destroyed,preserved
preserved,destroyed
destructible,indestructible
indestructible,destructible
determinable,indeterminable
indeterminable,determinable
determinate,indeterminate
indeterminate,determinate
determinate,indeterminate
indeterminate,determinate
developed,undeveloped
undeveloped,developed
dextral,sinistral
sinistral,dextral
diabatic,adiabatic
adiabatic,diabatic
differentiated,undifferentiated
undifferentiated,differentiated
difficult,easy
easy,difficult
digitigrade,plantigrade
plantigrade,digitigrade
dignified,undignified
undignified,dignified
statesmanlike,unstatesmanlike
unstatesmanlike,statesmanlike
presidential,unpresidential
unpresidential,presidential
dicotyledonous,monocotyledonous
monocotyledonous,dicotyledonous
diligent,negligent
negligent,diligent
diluted,undiluted
undiluted,diluted
saturated,unsaturated
unsaturated,saturated
saturated,unsaturated
unsaturated,saturated
diplomatic,undiplomatic
undiplomatic,diplomatic
conciliatory,antagonistic
antagonistic,conciliatory
direct,indirect
indirect,direct
direct,alternating
alternating,direct
direct,indirect
indirect,direct
direct,inverse
inverse,direct
direct,retrograde
retrograde,direct
immediate,mediate
mediate,immediate
discerning,undiscerning
undiscerning,discerning
discreet,indiscreet
indiscreet,discreet
discriminate,indiscriminate
indiscriminate,discriminate
discriminating,undiscriminating
undiscriminating,discriminating
disposable,nondisposable
nondisposable,disposable
returnable,nonreturnable
nonreturnable,returnable
disposable,nondisposable
nondisposable,disposable
distal,proximal
proximal,distal
distal,mesial
mesial,distal
distinct,indistinct
indistinct,distinct
focused,unfocused
unfocused,focused
diversified,undiversified
undiversified,diversified
divisible,indivisible
indivisible,divisible
documented,undocumented
undocumented,documented
domineering,submissive
submissive,domineering
servile,unservile
unservile,servile
dominant,subordinate
subordinate,dominant
dominant,recessive
recessive,dominant
single-barreled,double-barreled
double-barreled,single-barreled
double-breasted,single-breasted
single-breasted,double-breasted
dramatic,undramatic
undramatic,dramatic
actable,unactable
unactable,actable
theatrical,untheatrical
untheatrical,theatrical
drinkable,undrinkable
undrinkable,drinkable
intoxicated,sober
sober,intoxicated
dull,sharp
sharp,dull
sharp,dull
dull,sharp
eventful,uneventful
uneventful,eventful
lively,dull
dull,lively
dynamic,undynamic
undynamic,dynamic
eager,uneager
uneager,eager
eared,earless
earless,eared
early,middle
middle,late
late,early
early,late
late,early
early,middle
middle,late
late,early
earned,unearned
unearned,earned
easy,uneasy
uneasy,easy
east,west
west,east
western,eastern
eastern,western
western,eastern
eastern,western
ectomorphic,endomorphic
endomorphic,mesomorphic
mesomorphic,ectomorphic
edible,inedible
inedible,edible
educated,uneducated
uneducated,educated
numerate,innumerate
innumerate,numerate
operative,inoperative
inoperative,operative
effective,ineffective
ineffective,effective
effortful,effortless
effortless,effortful
efficacious,inefficacious
inefficacious,efficacious
efficient,inefficient
inefficient,efficient
forceful,forceless
forceless,forceful
elastic,inelastic
inelastic,elastic
elective,appointive
appointive,elective
assigned,unassigned
unassigned,assigned
optional,obligatory
obligatory,optional
elegant,inelegant
inelegant,elegant
eligible,ineligible
ineligible,eligible
emotional,unemotional
unemotional,emotional
empirical,theoretical
theoretical,empirical
theoretical,applied
applied,theoretical
salaried,freelance
freelance,salaried
employed,unemployed
unemployed,employed
employable,unemployable
unemployable,employable
enchanted,disenchanted
disenchanted,enchanted
encouraging,discouraging
discouraging,encouraging
encumbered,unencumbered
unencumbered,encumbered
burdened,unburdened
unburdened,burdened
endocentric,exocentric
exocentric,endocentric
endogamous,exogamous
exogamous,endogamous
autogamous,endogamous
endogamous,exogamous
exogamous,autogamous
endoergic,exoergic
exoergic,endoergic
endothermic,exothermic
exothermic,endothermic
endogenous,exogenous
endogenic,exogenic
exogenous,endogenous
exogenic,endogenic
end-stopped,run-on
run-on,end-stopped
energetic,lethargic
lethargic,energetic
enfranchised,disenfranchised
disenfranchised,enfranchised
exportable,unexportable
unexportable,exportable
exploratory,nonexploratory
nonexploratory,exploratory
inquiring,uninquiring
uninquiring,inquiring
increased,decreased
decreased,increased
reducible,irreducible
irreducible,reducible
enlightened,unenlightened
unenlightened,enlightened
enterprising,unenterprising
unenterprising,enterprising
enthusiastic,unenthusiastic
unenthusiastic,enthusiastic
desirous,undesirous
undesirous,desirous
entozoic,epizoic
epizoic,entozoic
equal,unequal
unequal,equal
balanced,unbalanced
unbalanced,balanced
isotonic,hypertonic
hypertonic,hypotonic
hypotonic,isotonic
equivocal,unequivocal
unequivocal,equivocal
eradicable,ineradicable
ineradicable,eradicable
esoteric,exoteric
exoteric,esoteric
essential,inessential
inessential,essential
dispensable,indispensable
indispensable,dispensable
estimable,contemptible
contemptible,estimable
ethical,unethical
unethical,ethical
complimentary,uncomplimentary
uncomplimentary,complimentary
flattering,unflattering
unflattering,flattering
euphemistic,dysphemistic
dysphemistic,euphemistic
euphoric,dysphoric
dysphoric,euphoric
even,uneven
uneven,even
even,odd
odd,even
evergreen,deciduous
deciduous,evergreen
exact,inexact
inexact,exact
convertible,inconvertible
inconvertible,convertible
exchangeable,unexchangeable
unexchangeable,exchangeable
excitable,unexcitable
unexcitable,excitable
excited,unexcited
unexcited,excited
exciting,unexciting
unexciting,exciting
exculpatory,inculpatory
inculpatory,exculpatory
exhaustible,inexhaustible
inexhaustible,exhaustible
exhausted,unexhausted
unexhausted,exhausted
existent,nonexistent
nonexistent,existent
extant,extinct
extinct,extant
expected,unexpected
unexpected,expected
expedient,inexpedient
inexpedient,expedient
expendable,unexpendable
unexpendable,expendable
expensive,cheap
cheap,expensive
experienced,inexperienced
inexperienced,experienced
expired,unexpired
unexpired,expired
explicable,inexplicable
inexplicable,explicable
explicit,implicit
implicit,explicit
exploited,unexploited
unexploited,exploited
expressible,inexpressible
inexpressible,expressible
extensile,nonextensile
nonextensile,extensile
extricable,inextricable
inextricable,extricable
bowed,plucked
plucked,bowed
fingered,fingerless
fingerless,fingered
expansive,unexpansive
unexpansive,expansive
extinguishable,inextinguishable
inextinguishable,extinguishable
external,internal
internal,external
outer,inner
inner,outer
outward,inward
inward,outward
exterior,interior
interior,exterior
eyed,eyeless
eyeless,eyed
playable,unplayable
unplayable,playable
fair,foul
foul,fair
fair,unfair
unfair,fair
equitable,inequitable
inequitable,equitable
faithful,unfaithful
unfaithful,faithful
faithful,unfaithful
unfaithful,faithful
loyal,disloyal
disloyal,loyal
fallible,infallible
infallible,fallible
familiar,unfamiliar
unfamiliar,familiar
strange,familiar
familiar,strange
fashionable,unfashionable
unfashionable,fashionable
stylish,styleless
styleless,stylish
fast,slow
slow,fast
fast,slow
slow,fast
fast,slow
slow,fast
fastidious,unfastidious
unfastidious,fastidious
fastidious,unfastidious
unfastidious,fastidious
fat,thin
thin,fat
fatty,nonfat
nonfat,fatty
fatal,nonfatal
nonfatal,fatal
curable,incurable
incurable,curable
fathomable,unfathomable
unfathomable,fathomable
favorable,unfavorable
unfavorable,favorable
favorable,unfavorable
unfavorable,favorable
feathered,unfeathered
unfeathered,feathered
felicitous,infelicitous
infelicitous,felicitous
fertile,sterile
sterile,fertile
finished,unfinished
unfinished,finished
finished,unfinished
unfinished,finished
finite,infinite
infinite,finite
finite,infinite
infinite,finite
opening,closing
closing,opening
first,last
last,first
intermediate,terminal
terminal,intermediate
first,second
second,first
fissile,nonfissile
nonfissile,fissile
fissionable,nonfissionable
nonfissionable,fissionable
fit,unfit
unfit,fit
fit,unfit
unfit,fit
flat,contrasty
contrasty,flat
flexible,inflexible
inflexible,flexible
flexible,inflexible
inflexible,flexible
uncompromising,compromising
compromising,uncompromising
rigid,nonrigid
nonrigid,rigid
adaptable,unadaptable
unadaptable,adaptable
campylotropous,orthotropous
orthotropous,campylotropous
anatropous,amphitropous
amphitropous,anatropous
curly,straight
straight,curly
footed,footless
footless,footed
toed,toeless
toeless,toed
pigeon-toed,splayfooted
splayfooted,pigeon-toed
fore,aft
aft,fore
forehand,backhand
backhand,forehand
native,adopted
adopted,native
foreign,native
native,foreign
native,nonnative
nonnative,native
foreign,domestic
domestic,foreign
domestic,undomestic
undomestic,domestic
forgettable,unforgettable
unforgettable,forgettable
forgiving,unforgiving
unforgiving,forgiving
formal,informal
informal,formal
formal,informal
informal,formal
former,latter
latter,former
fortunate,unfortunate
unfortunate,fortunate
fragrant,malodorous
malodorous,fragrant
odorous,odorless
odorless,odorous
scented,scentless
scentless,scented
free,bound
bound,free
fixed,unfixed
unfixed,fixed
free,unfree
unfree,free
free,unfree
unfree,free
frequent,infrequent
infrequent,frequent
fresh,stale
stale,fresh
fresh,preserved
preserved,fresh
fresh,salty
salty,fresh
friendly,unfriendly
unfriendly,friendly
friendly,hostile
hostile,friendly
friendly,unfriendly
unfriendly,friendly
frozen,unfrozen
unfrozen,frozen
fruitful,unfruitful
unfruitful,fruitful
full,empty
empty,full
drained,undrained
undrained,drained
full-time,part-time
part-time,full-time
functional,nonfunctional
nonfunctional,functional
functioning,malfunctioning
malfunctioning,functioning
functional,organic
organic,functional
rigged,unrigged
unrigged,rigged
equipped,unequipped
unequipped,equipped
fledged,unfledged
unfledged,fledged
framed,unframed
unframed,framed
furnished,unfurnished
unfurnished,furnished
funded,unfunded
unfunded,funded
fueled,unfueled
unfueled,fueled
specified,unspecified
unspecified,specified
geared,ungeared
ungeared,geared
general,specific
specific,general
specific,nonspecific
nonspecific,specific
national,local
local,national
cosmopolitan,endemic
endemic,cosmopolitan
branchiate,abranchiate
abranchiate,branchiate
federal,unitary
unitary,federal
centralized,decentralized
decentralized,centralized
technical,nontechnical
nontechnical,technical
nonproprietary,proprietary
proprietary,nonproprietary
generous,stingy
stingy,generous
generous,ungenerous
ungenerous,generous
genuine,counterfeit
counterfeit,genuine
geocentric,heliocentric
heliocentric,geocentric
talented,untalented
untalented,talented
glazed,unglazed
unglazed,glazed
glazed,unglazed
unglazed,glazed
glorious,inglorious
inglorious,glorious
go,no-go
no-go,go
good,bad
bad,good
good,evil
evil,good
good-natured,ill-natured
ill-natured,good-natured
graceful,awkward
awkward,graceful
gracious,ungracious
ungracious,gracious
gradual,sudden
sudden,gradual
gradual,steep
steep,gradual
grammatical,ungrammatical
ungrammatical,grammatical
grateful,ungrateful
ungrateful,grateful
haploid,diploid
diploid,polyploid
polyploid,haploid
happy,unhappy
unhappy,happy
regretful,unregretful
unregretful,regretful
hard,soft
soft,hard
hard,soft
soft,hard
hard,soft
soft,hard
hard,soft
soft,hard
hardhearted,softhearted
softhearted,hardhearted
alcoholic,nonalcoholic
nonalcoholic,alcoholic
harmless,harmful
harmful,harmless
harmonious,inharmonious
inharmonious,harmonious
healthful,unhealthful
unhealthful,healthful
medical,surgical
surgical,medical
operable,inoperable
inoperable,operable
pyretic,antipyretic
antipyretic,pyretic
healthy,unhealthy
unhealthy,healthy
dry,phlegmy
phlegmy,dry
heavenly,earthly
earthly,heavenly
digestible,indigestible
indigestible,digestible
headed,headless
headless,headed
headed,unheaded
unheaded,headed
heavy,light
light,heavy
weighty,weightless
weightless,weighty
light-duty,heavy-duty
heavy-duty,light-duty
